"Group.1" "tBodyAcc-mean()-X" "tBodyAcc-mean()-Y" "tBodyAcc-mean()-Z" "tBodyAcc-std()-X" "tBodyAcc-std()-Y" "tBodyAcc-std()-Z" "tGravityAcc-mean()-X" "tGravityAcc-mean()-Y" "tGravityAcc-mean()-Z" "tGravityAcc-std()-X" "tGravityAcc-std()-Y" "tGravityAcc-std()-Z" "tBodyAccJerk-mean()-X" "tBodyAccJerk-mean()-Y" "tBodyAccJerk-mean()-Z" "tBodyAccJerk-std()-X" "tBodyAccJerk-std()-Y" "tBodyAccJerk-std()-Z" "tBodyGyro-mean()-X" "tBodyGyro-mean()-Y" "tBodyGyro-mean()-Z" "tBodyGyro-std()-X" "tBodyGyro-std()-Y" "tBodyGyro-std()-Z" "tBodyGyroJerk-mean()-X" "tBodyGyroJerk-mean()-Y" "tBodyGyroJerk-mean()-Z" "tBodyGyroJerk-std()-X" "tBodyGyroJerk-std()-Y" "tBodyGyroJerk-std()-Z" "tBodyAccMag-mean()" "tBodyAccMag-std()" "tGravityAccMag-mean()" "tGravityAccMag-std()" "tBodyAccJerkMag-mean()" "tBodyAccJerkMag-std()" "tBodyGyroMag-mean()" "tBodyGyroMag-std()" "tBodyGyroJerkMag-mean()" "tBodyGyroJerkMag-std()" "fBodyAcc-mean()-X" "fBodyAcc-mean()-Y" "fBodyAcc-mean()-Z" "fBodyAcc-std()-X" "fBodyAcc-std()-Y" "fBodyAcc-std()-Z" "fBodyAcc-meanFreq()-X" "fBodyAcc-meanFreq()-Y" "fBodyAcc-meanFreq()-Z" "fBodyAccJerk-mean()-X" "fBodyAccJerk-mean()-Y" "fBodyAccJerk-mean()-Z" "fBodyAccJerk-std()-X" "fBodyAccJerk-std()-Y" "fBodyAccJerk-std()-Z" "fBodyAccJerk-meanFreq()-X" "fBodyAccJerk-meanFreq()-Y" "fBodyAccJerk-meanFreq()-Z" "fBodyGyro-mean()-X" "fBodyGyro-mean()-Y" "fBodyGyro-mean()-Z" "fBodyGyro-std()-X" "fBodyGyro-std()-Y" "fBodyGyro-std()-Z" "fBodyGyro-meanFreq()-X" "fBodyGyro-meanFreq()-Y" "fBodyGyro-meanFreq()-Z" "fBodyAccMag-mean()" "fBodyAccMag-std()" "fBodyAccMag-meanFreq()" "fBodyBodyAccJerkMag-mean()" "fBodyBodyAccJerkMag-std()" "fBodyBodyAccJerkMag-meanFreq()" "fBodyBodyGyroMag-mean()" "fBodyBodyGyroMag-std()" "fBodyBodyGyroMag-meanFreq()" "fBodyBodyGyroJerkMag-mean()" "fBodyBodyGyroJerkMag-std()" "fBodyBodyGyroJerkMag-meanFreq()" "activity" "person_id"
"1" "LAYING" 0.277641089476546 -0.0180960334680348 -0.108961379074982 -0.606014673852949 -0.557925878093468 -0.605550922626453 0.649980730746269 0.00709804413243923 0.113874103842244 -0.973385742956645 -0.961230202238806 -0.942719472686567 0.0774730991674769 0.00903989643041151 -0.00199792224031841 -0.654330887425821 -0.637877251220561 -0.778791312544421 -0.0441157820348792 -0.0644314300998571 0.096274441991521 -0.721198875195096 -0.662913504045416 -0.642868775296304 -0.0922829953007726 -0.0445977450764108 -0.0555640554937527 -0.752480138840085 -0.818878084321251 -0.759245350632551 -0.560921185066375 -0.601478504430064 -0.560921185066375 -0.601478504430064 -0.672044742344634 -0.648869815244279 -0.594029680068252 -0.656774283558067 -0.789207038923952 -0.813411099840867 -0.619629643899097 -0.571829806684151 -0.670327129249467 -0.601805779180967 -0.580176044441656 -0.605457939639758 -0.22778015996823 0.00880066113024165 0.0426804482799502 -0.66296532467221 -0.652709957612864 -0.755616688211798 -0.676987741572779 -0.647075266703412 -0.801042941279318 -0.0583804285538308 -0.20672302396676 -0.10550001263777 -0.683129670311798 -0.712143785969801 -0.652505097212011 -0.735812314602111 -0.641855752317058 -0.674138201008245 -0.125381666693582 -0.237880282423014 -0.0784677123291507 -0.602282812764819 -0.663878863890085 0.073886566558877 -0.640273982237932 -0.662496976906809 0.170381886972741 -0.714815090355814 -0.680392205669602 -0.0941478349183653 -0.814142073933902 -0.825945914401564 0.10195081441919 NA NA
"2" "SITTING" 0.274570678356765 -0.017797993891224 -0.111486696312012 -0.608485687383002 -0.538963334595622 -0.657493376503421 0.608279352251944 0.00939621213763608 0.117440840636858 -0.965342917830482 -0.962766171078538 -0.946813536975894 0.0813325078233204 0.00947431590886292 -0.00349609373563375 -0.642457094112247 -0.625392400871223 -0.766208668945381 -0.0246517777629272 -0.0787305500347652 0.0836289144650855 -0.725965781984137 -0.733809307310817 -0.683762658673577 -0.100455345640824 -0.0391223526109829 -0.053797498315 -0.730375682893002 -0.799719202530793 -0.765834046951299 -0.563765985986664 -0.6268173767964 -0.563765985986664 -0.6268173767964 -0.652566894675117 -0.649284773274152 -0.639149054943352 -0.703153036266719 -0.771541623115708 -0.796497521091213 -0.637402717337512 -0.563658980115 -0.690312597237286 -0.598753946082348 -0.555791857971112 -0.6678364565514 -0.216773595521216 0.0359526093799969 0.0681556523071439 -0.666045186624386 -0.645758289600855 -0.749272458374495 -0.650513253063375 -0.629119837567496 -0.781884234633305 -0.00803784802746501 -0.17136634580839 -0.0893248975370008 -0.672965428287636 -0.735247947587403 -0.674696080607792 -0.744058411959844 -0.736154452227994 -0.717303908248911 -0.0861465312928227 -0.177675429577706 -0.0382502648194012 -0.614319775156431 -0.693544562709098 0.0817028052561182 -0.642304254818927 -0.662398166597512 0.219392267670156 -0.728173429337247 -0.739486237602255 -0.0297861326618896 -0.797000967792379 -0.811563719765941 0.173595241753002 NA NA
"3" "STANDING" 0.273468802928311 -0.018092346328195 -0.108606481618857 -0.652328775638013 -0.553856588065095 -0.620209948976638 0.644761745866084 0.0567043099363901 0.185524173492943 -0.959997693427948 -0.942418651108515 -0.925936633187045 0.0791204436155095 0.0109175826712118 -0.0066719229215262 -0.693845895969723 -0.669529731058152 -0.758449878741346 -0.0147047363557424 -0.0843614136253566 0.0873702697101383 -0.738242942737191 -0.70633520614556 -0.692777079883333 -0.102328463713151 -0.040736672250444 -0.058090008286607 -0.747355093300437 -0.782872569620451 -0.784473309898836 -0.576612072726492 -0.623554394603857 -0.576612072726492 -0.623554394603857 -0.689866770062955 -0.674063835466557 -0.634129551389025 -0.672901606277875 -0.770682815185953 -0.773831504216914 -0.669001671017031 -0.587990214375255 -0.667070932046943 -0.647399298411063 -0.566126352753122 -0.627134847410677 -0.234301293852983 -0.00163657491215793 0.0596042243193806 -0.705567747083916 -0.684461197889665 -0.743444062356332 -0.709720452151565 -0.676479307985569 -0.772671983068996 -0.0233027493881732 -0.202925219220728 -0.127209245747962 -0.690705960663028 -0.72409630700575 -0.689407672279476 -0.754987095865357 -0.700549496388574 -0.722908394992212 -0.0867287259461063 -0.171525982994578 -0.0481558542163028 -0.625243767494614 -0.68377153799163 0.0655158847916084 -0.669459335093013 -0.682874823589665 0.187144365280932 -0.702274711620306 -0.712895052135953 -0.0369669284360633 -0.779597921418777 -0.783320748146434 0.128933582101122 NA NA
"4" "WALKING" 0.271887625365416 -0.0171147289705897 -0.108866937517555 -0.577608179370252 -0.443268746976354 -0.635345688604649 0.708740262411093 0.00883865129591354 0.0678086790333337 -0.962226530595432 -0.946847115170473 -0.932997198826264 0.0787332735191272 0.00950679949848287 -0.00360797599364804 -0.595560053743883 -0.533666412892333 -0.78550848267863 -0.0266746202497961 -0.0795543777560604 0.0899447416828711 -0.711352416965905 -0.660263222669943 -0.655137704828059 -0.0982693692219086 -0.0434965621927406 -0.0513101656211664 -0.677725107274062 -0.762497382038336 -0.669842255132953 -0.517734273284103 -0.554283965685073 -0.517734273284103 -0.554283965685073 -0.615385884305954 -0.587075564298483 -0.594838075479445 -0.631627830954731 -0.723488397428222 -0.742586145021207 -0.584844087422104 -0.474373619667488 -0.691729032743067 -0.576517454980351 -0.463708079250245 -0.636610911644861 -0.187285304157855 0.0552791655429935 0.0286361146360848 -0.614010020860612 -0.568624833440678 -0.768611936353997 -0.612980327118491 -0.527394394482387 -0.801014757928222 -0.0581112528788989 -0.246288586349078 -0.143415066453776 -0.647408646209788 -0.681862242122594 -0.604195264226892 -0.733093261923165 -0.652708875048206 -0.706186287251223 -0.0482253372837683 -0.107389693555799 0.0117707824951223 -0.548228016593997 -0.629160398145269 0.0975992197234095 -0.576324699595595 -0.60467789475062 0.144027334859405 -0.659833273794454 -0.678903960489723 0.0170140154088591 -0.747080604607423 -0.755958740280587 0.0925554149440294 NA NA
"5" "WALKING_DOWNSTAIRS" 0.275735874073022 -0.0161564624738438 -0.107253303310345 -0.603683696099797 -0.495586658812992 -0.526959067781105 0.705363023650101 -0.037804364356998 -0.0497657650944929 -0.961907622860041 -0.954844310503043 -0.93706914541785 0.0763397078004767 0.00636480461291684 -0.00250509213635903 -0.657502054905132 -0.632304606357698 -0.744594068114686 -0.013275532018499 -0.0810215992443408 0.0737832242320487 -0.737266194194726 -0.638097731712221 -0.603822758633063 -0.10384725242737 -0.0429650590820172 -0.051486446186785 -0.789161022920893 -0.805121794454361 -0.75377508083854 -0.523721247479462 -0.558018720355821 -0.523721247479462 -0.558018720355821 -0.656103936195304 -0.643108179702322 -0.580412724046846 -0.642251035226876 -0.786217390601521 -0.811148019625761 -0.627279922542799 -0.53803980843283 -0.607398636739067 -0.595719152043134 -0.507439474198529 -0.523702523875041 -0.248969316373732 -0.0307710862143144 -0.00243632579389452 -0.674263445278398 -0.646349045963387 -0.719774937099899 -0.670898366436846 -0.642464964667069 -0.768424461151217 -0.066355397200145 -0.223401738933458 -0.158316799616126 -0.71345399743641 -0.691918511086055 -0.626607738022515 -0.747078592966531 -0.613452765877049 -0.6349424492 -0.167765679952343 -0.223646348233367 -0.101911681594371 -0.56664464580289 -0.623246330789047 0.0313197600588844 -0.634433996151927 -0.657291959954057 0.175430575755416 -0.695994692578398 -0.670060415532779 -0.101725200949402 -0.807154384870548 -0.830628592588235 0.121295259325375 NA NA
"6" "WALKING_UPSTAIRS" 0.273384765809879 -0.0186166161498322 -0.109297577009637 -0.574397728502721 -0.452198982322926 -0.557240053397418 0.68550591651165 0.00687150743116496 0.0841355595267325 -0.96273791616123 -0.954072907821994 -0.935928250738117 0.0816642923762628 0.00472022699664865 -0.0103786062654529 -0.60835802658616 -0.549981416182097 -0.718143779900168 -0.037358080155219 -0.0696378726385648 0.0843622889556612 -0.688015931855452 -0.637014479161603 -0.631634054519478 -0.0905408744425219 -0.0441470946307269 -0.0545638183261323 -0.683504551434949 -0.725568231864958 -0.708938145232842 -0.504212943754427 -0.550404550863961 -0.504212943754427 -0.550404550863961 -0.604007771226011 -0.581051423483318 -0.560990294625536 -0.615755255713886 -0.713999497438024 -0.723467284714595 -0.588113486133085 -0.478469973067996 -0.616154617782787 -0.570569400891146 -0.474309666751072 -0.563756979312404 -0.256300019003169 0.00577628743073625 0.0660403341129823 -0.627096543589003 -0.579598319749366 -0.697512237387866 -0.624447834693204 -0.548668473755545 -0.737607295957875 -0.0751515559473281 -0.227031955112302 -0.122255098137912 -0.629308773208294 -0.652331771493756 -0.612536279528267 -0.709023143968313 -0.634753425595154 -0.674116178692824 -0.105504051984511 -0.141022958745182 -0.0414263622120037 -0.538211259563933 -0.629267497944828 0.0821218889327297 -0.569203525388835 -0.600687431381398 0.169187708307185 -0.646942329012367 -0.664676974821342 -0.0381931552797483 -0.723755063052628 -0.743520279256785 0.134430833584203 NA NA
"7" "1" 0.265696920582133 -0.0182981725176081 -0.10784573454611 -0.545795331328326 -0.367716218227378 -0.502645746562824 0.744867411573487 -0.0825562579855908 0.072339870389049 -0.959859435936599 -0.951150627458213 -0.925817590867435 0.0770930495126801 0.0165908438802305 -0.00910758730117003 -0.524721922818732 -0.470412403511239 -0.717322274881844 -0.0208764064320173 -0.0880722729400576 0.0862641666597983 -0.686555715201729 -0.450979810499568 -0.597496136795101 -0.0971120197265994 -0.0417164808293948 -0.0471393985477522 -0.637812687210375 -0.634472244550432 -0.664591977786455 -0.453632943768818 -0.497096402038329 -0.453632943768818 -0.497096402038329 -0.545431612066571 -0.515922167555159 -0.475404785802305 -0.499839593745821 -0.639517432642651 -0.652050770910663 -0.531895161258213 -0.406435448904438 -0.596411165253602 -0.553060616663401 -0.390150939647061 -0.498583091676081 -0.180558714010749 0.0576291646962536 0.0583692776609798 -0.547348892435764 -0.507343617969859 -0.695305113832853 -0.543979776127867 -0.466251676533372 -0.737861932680115 -0.0488005965884726 -0.21527915818415 -0.0964496376997118 -0.623219182311527 -0.505309434070029 -0.553529065425648 -0.708263420861671 -0.429825832648703 -0.650476162132565 -0.0320324102759078 -0.0901517235974063 -0.0180063943472334 -0.478448523354179 -0.589710231217867 0.142062162506138 -0.499075765624092 -0.541823079570029 0.200055179527839 -0.535002770337752 -0.566576670397695 0.0649309438160231 -0.645970655298847 -0.685811262634006 0.198031580056455 NA NA
"8" "3" 0.273428719636364 -0.017856067384956 -0.106492632429097 -0.623413602046921 -0.480015920697654 -0.653625579293255 0.707814353343108 -0.0260590480328739 0.0480937904190616 -0.966457565630499 -0.9445645371261 -0.926966278211144 0.0701731261988856 0.0144664329060411 -0.000526818872875366 -0.635484688041056 -0.55721186773783 -0.796066240234604 -0.0248490682828446 -0.0743565308442815 0.0866875497119062 -0.699262195705865 -0.76302218170088 -0.709483440322581 -0.0991554609633431 -0.0401923943695015 -0.0521178264170088 -0.689328428607038 -0.842659862111437 -0.743028500565982 -0.563140802770059 -0.591224780306452 -0.563140802770059 -0.591224780306452 -0.650182434328446 -0.607658214170381 -0.643150121648094 -0.674010290979472 -0.784056656246334 -0.80366136372434 -0.625733289873607 -0.501779938505279 -0.699656828592375 -0.623805015199413 -0.502753639795894 -0.657443765803519 -0.192817340495308 0.0389282523284457 0.00447261449052786 -0.645893496630499 -0.582949919157742 -0.780101644193548 -0.657844055881525 -0.559851186088408 -0.81080601659824 -0.0476941200470968 -0.236874240885924 -0.193657539305073 -0.642097719778592 -0.775144985073314 -0.670734708996481 -0.719276622702346 -0.758505287214076 -0.751008875659824 -0.102568067670674 -0.167675025582991 -0.0321862688221114 -0.579076453758064 -0.663079838985044 0.0770665587562757 -0.604752108072727 -0.615643694857361 0.11231984174566 -0.716822144279179 -0.703839403007038 -0.0846075231245126 -0.810085498651026 -0.810032718739003 0.0599628733252199 NA NA
"9" "5" 0.279177960301325 -0.0154833455336192 -0.105661736816887 -0.507691011391722 -0.402724906078146 -0.646443640175497 0.698153719072848 0.112313109736755 0.0921607197449904 -0.964629108807947 -0.939973777950331 -0.94207867884106 0.0841019899622517 0.0017656830384106 -0.0029537113427351 -0.575890535679801 -0.506544358609603 -0.78456199486755 -0.0294516873643046 -0.0774316445596026 0.0866267116745033 -0.709955676983444 -0.705638306688742 -0.606589817380795 -0.103522877147351 -0.0490624519374172 -0.0506258160122517 -0.662581310334437 -0.774114270364238 -0.564680771249007 -0.460866415568709 -0.52162345171192 -0.460866415568709 -0.52162345171192 -0.589313870006622 -0.589031268133113 -0.602770284825828 -0.664078383532781 -0.707383517582782 -0.734187493344371 -0.55123770513245 -0.440232431795033 -0.696171811490066 -0.492829885748675 -0.422162171100331 -0.649351210748344 -0.226370689942053 0.0748636861897351 0.0062663175707947 -0.604769869438742 -0.550991969857417 -0.768762357980132 -0.584013626983444 -0.491500434303907 -0.798835563807947 -0.10292084499106 -0.27429092242043 -0.163706246351656 -0.632239300829801 -0.71706218781457 -0.537329127293278 -0.73573857718543 -0.702290390960265 -0.669353687483444 -0.0381646986649007 -0.0720666007195695 0.0744028987918874 -0.528503022745033 -0.594259529756954 0.0781455594845364 -0.573176177044172 -0.613485123609272 0.131619298935099 -0.677355755703311 -0.715731148145695 0.062219113935298 -0.748829309536424 -0.735610602483444 0.0307564556565894 NA NA
"10" "6" 0.272376614181538 -0.0175697042641846 -0.11599454136 -0.505086085072062 -0.368403670137262 -0.672512004586708 0.688702063569231 0.0162055455953846 0.0475199990906462 -0.958898709015385 -0.9509348864 -0.937910223507692 0.0813833604034769 0.000479281129661539 -0.00225896302076923 -0.531468310262154 -0.454437496885815 -0.738955207627692 -0.0433611785374462 -0.0706129097498462 0.0973130293888923 -0.653800660041538 -0.626252072652308 -0.599910232855692 -0.0829159966093231 -0.0454921005615385 -0.0533610323667692 -0.546009968372308 -0.677635980501539 -0.526908306306892 -0.464770006998123 -0.483790606354154 -0.464770006998123 -0.483790606354154 -0.551413652396923 -0.502935062310769 -0.549494852037046 -0.579837818063692 -0.621936158532308 -0.644474485460492 -0.506174926221538 -0.392041410138769 -0.683725945015385 -0.506680276530492 -0.396677793847908 -0.694365207233846 -0.191537066813538 0.0590114878605846 0.113046089288708 -0.549394273848923 -0.503558973703692 -0.720867157741538 -0.555346159400332 -0.437837459287385 -0.755751144098462 -0.0956140259974462 -0.305422668448923 -0.1006823905788 -0.537201442069846 -0.621188724858462 -0.507604207506462 -0.692862440004 -0.633236229753846 -0.67302031484 0.0289087194733538 -0.0427900206246154 0.101044783556 -0.473974924380431 -0.570910289993846 0.102346682227846 -0.494882316238462 -0.516711262173969 0.0831165453227692 -0.579130051151385 -0.657368673849846 0.104193397607938 -0.651886909221538 -0.660175875210246 0.081817622852 NA NA
